,brand,id,car_model,car_model_mean
7,一汽马自达,95,2,47.5
37,吉利汽车,96,10,9.6
2,一汽大众,58,7,8.285714285714286
49,广汽丰田,17,3,5.666666666666667
8,上汽大众,36,10,3.6
16,东风日产,16,5,3.2
3,一汽大众奥迪,19,6,3.1666666666666665
51,广汽本田,12,4,3.0
22,东风雷诺,3,1,3.0
43,奇瑞汽车,14,5,2.8
29,北京现代,18,7,2.5714285714285716
73,领克汽车,5,2,2.5
18,东风标致,13,6,2.1666666666666665
11,上汽集团,15,7,2.142857142857143
0,一汽丰田,12,6,2.0
48,广汽三菱,4,2,2.0
15,东风悦达起亚,4,2,2.0
71,长安马自达,4,2,2.0
21,东风雪铁龙,6,3,2.0
32,华晨中华,2,1,2.0
9,上汽斯柯达,11,6,1.8333333333333333
17,东风本田,7,4,1.75
33,华晨宝马,5,3,1.6666666666666667
24,众泰汽车,13,8,1.625
67,长城汽车,11,7,1.5714285714285714
53,星途,3,2,1.5
59,江铃福特,3,2,1.5
35,南京依维柯,3,2,1.5
4,一汽奔腾,6,4,1.5
27,北京奔驰,4,3,1.3333333333333333
36,吉利新能源,4,3,1.3333333333333333
10,上汽通用五菱,11,9,1.2222222222222223
69,长安汽车,6,5,1.2
66,观致汽车,1,1,1.0
57,江淮汽车,6,6,1.0
72,雷克萨斯,2,2,1.0
52,开瑞汽车,1,1,1.0
70,长安铃木,2,2,1.0
54,林肯（进口）,1,1,1.0
55,比亚迪,1,1,1.0
56,汉腾汽车,2,2,1.0
60,沃尔沃亚太,1,1,1.0
58,江铃汽车,2,2,1.0
65,绵阳金杯,1,1,1.0
61,沃尔沃（进口）,1,1,1.0
62,猎豹汽车,1,1,1.0
63,玛莎拉蒂,1,1,1.0
68,长安标致雪铁龙DS,1,1,1.0
50,广汽乘用车,2,2,1.0
64,福田汽车,2,2,1.0
12,东南汽车,2,2,1.0
5,一汽红旗,1,1,1.0
34,华晨鑫源,1,1,1.0
14,东风小康,1,1,1.0
19,东风英菲尼迪,1,1,1.0
20,东风裕隆,1,1,1.0
23,东风风行,1,1,1.0
25,凯翼汽车,1,1,1.0
26,力帆汽车,2,2,1.0
28,北京汽车,2,2,1.0
30,北汽新能源,1,1,1.0
31,北汽昌河,1,1,1.0
1,一汽吉林,2,2,1.0
47,宝马（进口）,2,2,1.0
38,多士星,1,1,1.0
39,大众（进口）,2,2,1.0
40,天津一汽,1,1,1.0
41,奇瑞捷豹路虎,2,2,1.0
42,奇瑞新能源,1,1,1.0
13,东风乘用车,2,2,1.0
44,奔驰（进口）,3,3,1.0
45,奥迪（进口）,1,1,1.0
46,宝沃汽车,2,2,1.0
6,一汽解放,2,2,1.0
